form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
བྱམས་པ་	བྱམས་པ་	PROPN
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
		
ཞབས་བརྟན་	ཞབས་བརྟན་	OTHER
སྨོན་ཚིག་	སྨོན་ཚིག་	OTHER
ན་མོ་	ན་མོ་	X
གུ་རུ་	གུ་རུ་	PROPN
མཉྫུ་		NON_WORD
གྷོ་		NON_WORD
ཥཱ་		NON_WORD
ཡ་	ཡ་	NOUN
།		PUNCT
བྱམས་མགོན་	བྱམས་མགོན་	OTHER
གཉིས་པ་	གཉིས་པ་	NUM
རབ་འབྱམས་	རབ་འབྱམས་	ADJ
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
།		PUNCT
		
།		PUNCT
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
གསལ་མཛད་པ་	གསལ་མཛད་པ་	PROPN
།		PUNCT
		
།		PUNCT
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
ནུས་པ་	ནུས་པ་	VERB
འི་	གི་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
མགོན་	མགོན་	NOUN
།		PUNCT
		
།		PUNCT
ཡོངས་འཛིན་	ཡོངས་འཛིན་	OTHER
སྨྲ་བ་	སྨྲ་བ་	VERB
འི་	གི་	PART
ཉི་མ་	ཉི་མ་	NOUN
ཞབས་བརྟན་	ཞབས་བརྟན་	OTHER
གསོལ་	གསོལ་	VERB
།		PUNCT
		
།		PUNCT
རྣམ་དག་	རྣམ་དག་	ADJ
སྡོམ་པ་	སྡོམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
གྱིས་	གིས་	PART
རྒྱུད་	རྒྱུད་	NOUN
ཕྱུག་	ཕྱུག་	VERB
ཅིང་	ཅིང་	PART
།		PUNCT
		
།		PUNCT
རྣམ་	རྣམ་	NOUN
མང་ཐོས་	མང་ཐོས་	NOUN
བསམ་	བསམ་	NOUN
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ཕ་མཐ་	ཕ་མཐའ་	NO_POS
ར་	ལ་	PART
སོན་	སོན་	VERB
།		PUNCT
		
།		PUNCT
རྣམ་ཀུན་	རྣམ་ཀུན་	NO_POS
འཆད་	འཆད་	VERB
རྩོད་	རྩོད་	VERB
རྩོམ་པ་	རྩོམ་པ་	VERB
ས་	གིས་	PART
དུས་	དུས་	NOUN
འདའ་	འདའ་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
		
།		PUNCT
རྣམ་དཀར་	རྣམ་དཀར་	ADJ
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
རྟག་	རྟག་	VERB
ཏུ་	ལ་	PART
རྒྱ་	རྒྱ་	VERB
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
		
།		PUNCT
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
སྤྲུལ་སྐུ་	སྤྲུལ་སྐུ་	NOUN
བསྐལ་	བསྐལ་	NO_POS
བརྒྱ་	བརྒྱ་	NUM
ར་	ལ་	PART
འཚོ་གཞེས་	འཚོ་གཞེས་	NO_POS
ཤིང་	ཅིང་	PART
།		PUNCT
		
།		PUNCT
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
བཞེད་དོན་	བཞེད་དོན་	OTHER
མ་	མ་	PART
ལུས་	ལུས་	NOUN
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
ན་	ནས་	PART
།		PUNCT
		
།		PUNCT
མཁྱེན་རབ་	མཁྱེན་རབ་	NOUN
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
ས་སྐྱ་པ་	ས་སྐྱ་པ་	PROPN
འི་	གི་	PART
།		PUNCT
		
།		PUNCT
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
ཉི་མ་	ཉི་མ་	NOUN
སྲིད་	སྲིད་	NOUN
ན་	ལ་	PART
འབའ་	འབའ་	VERB
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
		
།		PUNCT
ཅེས་པ་	ཅེས་པ་	PART
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
ཤཱཀྱའི་		NON_WORD
དགེ་སློང་	དགེ་སློང་	NOUN
ངག་དབང་	ངག་དབང་	PROPN
ལེགས་པ་	ལེགས་པ་	VERB
ས་	གིས་	PART
རེ་སྨོན་	རེ་སྨོན་	OTHER
བདེན་ཚིག་	བདེན་ཚིག་	OTHER
སྙིང་	སྙིང་	NOUN
གི་	གི་	PART
དཀྱིལ་	དཀྱིལ་	NOUN
ན་	ནས་	PART
ཞུས་པ་	ཞུས་པ་	VERB
དེ་དེ་	དེ་དེ་	NO_POS
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
བཅིག་		NON_WORD
།		PUNCT
